timestamp,spot,open,high,low,close,volume
2023-01-03,451.55,450.42,452.63,448.91,451.55,35734472
2023-01-04,450.06,451.94,452.8,448.8,450.06,76666879
2023-01-05,452.31,449.63,452.82,449.55,452.31,78176754
2023-01-06,448.96,452.11,452.54,448.73,448.96,59717996
2023-01-09,451.09,448.78,454.3,445.76,451.09,57316359
2023-01-10,456.59,450.72,457.79,449.89,456.59,74758891
2023-01-11,453.33,456.69,456.76,453.16,453.33,78071431
2023-01-12,453.74,452.67,454.69,452.38,453.74,60204931
2023-01-13,452.33,454.18,455.13,450.94,452.33,39756953
2023-01-16,455.55,452.17,456.82,451.06,455.55,58064723
2023-01-17,448.75,455.77,457.04,447.26,448.75,67136386
2023-01-18,449.67,448.95,450.17,448.25,449.67,55071110
2023-01-19,442.92,449.68,450.48,442.11,442.92,72211199
2023-01-20,442.42,442.17,443.05,442.29,442.42,43293312
2023-01-23,444.62,443.0,445.22,441.82,444.62,59656040
2023-01-24,443.61,444.99,445.15,443.08,443.61,39090193
2023-01-25,440.7,443.38,443.72,440.59,440.7,68490143
2023-01-26,439.61,440.8,440.96,439.35,439.61,85387813
2023-01-27,446.04,439.2,446.86,438.78,446.04,59152852
2023-01-30,445.19,446.18,447.3,443.93,445.19,77571898
2023-01-31,446.87,445.31,449.35,442.71,446.87,52805883
2023-02-01,446.37,446.8,447.07,446.17,446.37,49465193
2023-02-02,446.2,446.81,446.54,446.02,446.2,57510566
2023-02-03,442.67,446.57,447.42,441.44,442.67,51456092
2023-02-06,441.96,442.87,443.64,440.98,441.96,58175247
2023-02-07,442.92,441.9,443.17,441.71,442.92,69287392
2023-02-08,440.72,443.6,443.62,440.02,440.72,67748516
2023-02-09,449.92,440.55,450.22,440.43,449.92,86921664
2023-02-10,453.47,449.85,453.47,449.92,453.47,70063618
2023-02-13,456.69,453.08,456.76,453.4,456.69,46717804
2023-02-14,460.88,456.47,460.92,456.65,460.88,60084903
2023-02-15,466.64,460.77,467.52,460.0,466.64,68637451
2023-02-16,467.11,467.52,470.37,463.38,467.11,52201349
2023-02-17,464.53,466.77,468.74,462.89,464.53,55187803
2023-02-20,459.74,464.48,465.73,458.53,459.74,38634074
2023-02-21,453.94,461.08,462.27,451.41,453.94,47426500
2023-02-22,460.96,454.29,461.26,453.65,460.96,71521491
2023-02-23,455.19,461.07,461.31,454.85,455.19,56670091
2023-02-24,455.93,455.19,456.0,455.12,455.93,54176629
2023-02-27,464.88,455.58,465.36,455.44,464.88,48313827
2023-02-28,466.8,465.09,467.87,463.81,466.8,48343539
2023-03-01,467.08,466.68,467.2,466.68,467.08,67288437
2023-03-02,466.24,466.91,467.43,465.89,466.24,38649173
2023-03-03,459.67,466.21,466.67,459.24,459.67,49206522
2023-03-06,462.39,459.87,463.99,458.07,462.39,91159017
2023-03-07,461.09,462.85,463.36,460.12,461.09,47325445
2023-03-08,466.53,461.43,469.01,458.6,466.53,41419396
2023-03-09,464.01,466.2,467.48,463.06,464.01,49794239
2023-03-10,460.63,464.29,465.8,458.84,460.63,30630657
2023-03-13,462.91,460.35,466.23,457.31,462.91,73863594
2023-03-14,465.0,463.29,465.94,461.98,465.0,81027073
2023-03-15,466.49,464.93,466.72,464.76,466.49,70750907
2023-03-16,465.85,466.11,467.74,464.61,465.85,68034592
